ID;ParentID;Namespace;Typ;Name;Value
x1;;urn:oecd:ties:globe:v2;Element;GLOBE_OECD;
x2;x1;urn:oecd:ties:globe:v2;Element;MessageSpec;
x3;x2;urn:oecd:ties:globe:v2;Element;SendingEntityIN;SendingEntityIN
x4;x2;urn:oecd:ties:globe:v2;Element;TransmittingCountry;AF
x5;x2;urn:oecd:ties:globe:v2;Element;ReceivingCountry;AF
x6;x2;urn:oecd:ties:globe:v2;Element;MessageType;GIR
x7;x2;urn:oecd:ties:globe:v2;Element;Warning;globe:Warning
x8;x2;urn:oecd:ties:globe:v2;Element;Contact;globe:Contact
x9;x2;urn:oecd:ties:globe:v2;Element;MessageRefId;globe:MessageRefId
x10;x2;urn:oecd:ties:globe:v2;Element;MessageTypeIndic;GIR101
x11;x2;urn:oecd:ties:globe:v2;Element;ReportingPeriod;2001-01-01
x12;x2;urn:oecd:ties:globe:v2;Element;Timestamp;2001-12-31T12:00:00
x13;x1;urn:oecd:ties:globe:v2;Element;GLOBEBody;
x14;x13;urn:oecd:ties:globe:v2;Element;FilingInfo;
x15;x14;urn:oecd:ties:globe:v2;Element;FilingCE;
x16;x15;urn:oecd:ties:globe:v2;Element;ResCountryCode;AF
x17;x15;urn:oecd:ties:globe:v2;Element;Name;globe:Name
x18;x15;urn:oecd:ties:globe:v2;Element;TIN;NOTIN
x19;x18;urn:oecd:ties:globe:v2;Attribute;TypeOfTIN;GIR3004
x21;x18;urn:oecd:ties:globe:v2;Attribute;unknown;true
x22;x15;urn:oecd:ties:globe:v2;Element;Role;GIR401
x23;x14;urn:oecd:ties:globe:v2;Element;AccountingInfo;
x24;x23;urn:oecd:ties:globe:v2;Element;CFSofUPE;GIR501
x25;x23;urn:oecd:ties:globe:v2;Element;FAS;globe:FAS
x26;x23;urn:oecd:ties:globe:v2;Element;Currency;AED
x27;x14;urn:oecd:ties:globe:v2;Element;Period;
x28;x27;urn:oecd:ties:globe:v2;Element;Start;2001-01-01
x29;x27;urn:oecd:ties:globe:v2;Element;End;2001-01-01
x30;x14;urn:oecd:ties:globe:v2;Element;NameMNE;globe:NameMNE
x31;x14;urn:oecd:ties:globe:v2;Element;DocSpec;
x32;x31;urn:oecd:ties:globestf:v5;Element;DocTypeIndic;OECD0
x33;x31;urn:oecd:ties:globestf:v5;Element;DocRefId;stf:DocRefId



